1,45,-879
2,0,562
3,-304,5872
4,-757,10207
5,-293,-95
6,6691,-1759
7,0,-450
8,104,5627
9,-434,-250
10,5,-148
11,-200,1325
12,-1329,-2374
13,-250,-980
14,-550,6
15,805,-498
16,-89,154
17,-248,1563
18,-904,59
19,-550,-889
20,-1971,1318
21,-146,-950
22,-350,-450
23,-650,149
24,-148,0
25,52,-59
26,-250,-292
27,-342,-753
28,-1153,-240
29,-244,-450
30,-400,-181
31,-181,-62
32,-954,-11
33,922,-342
34,0,0
35,4434,-249
36,-11,-1135
37,-674,8529
38,-689,9261
39,2389,-655
40,-1367,-250
41,0,-450
42,-92,-135
43,-350,1247
44,9134,52
45,1238,-250
46,0,0
47,-246,-353
48,-1167,311
49,-172,4986
50,-550,-275
51,-467,75
52,-977,591
53,-148,-442
54,-444,306
55,6,9578
56,-35,29
57,0,-1589
58,-1361,-442
59,-23,0
60,5,3859
61,19,-34
62,-10,-48
63,-26,0
64,-23,12402
65,5,-276
66,-1,-1553
67,104,31
68,-2872,22916
69,-48,2944
70,-53,-150
71,-238,540
72,499,358
73,45,-1153
74,76,-332
75,-25,-86
76,-175,550
77,3766,-66
78,-81,12102
79,5,433
80,2406,-340
81,0,4637
82,4466,12421
83,-344,0
84,-48,100
85,27,62
86,-144,-14
87,-97,21741
88,-248,16237
89,-40,1174
90,0,-463
91,-9,450
92,5,-466
93,-12,-263
94,0,-450
95,0,-4
96,-3,57
97,-14,-42
98,6,4484
99,22501,-1174
100,-1269,-150
101,2264,530
102,30085,-361
103,-110,-23
104,-146,-19
105,45,-674
106,151,1289
107,-7,241
108,38,112
109,-40,240
110,260,248
111,-247,202
112,-350,-20
113,-159,196
114,-57,225
115,334,25
116,43,5
117,-855,426
118,5213,152
119,-1556,-824
120,154,887
121,4636,2431
122,1946,29
123,1430,245
124,0,-1363
125,3085,39474
126,34605,4890
127,-544,-446
128,-463,-86
129,-465,-355
130,22847,429
131,5117,26427
132,175,-528
133,0,-142
134,2825,-95
135,792,-55
136,-355,16013
137,-344,-253
138,-1269,-448
139,-383,-453
140,1588,-230
141,0,-42
142,33135,-759
143,-778,8
144,24076,-553
145,-824,-55
146,13930,-542
147,-142,-242
148,6363,-446
149,-240,-53
150,43417,150
151,85,2147
152,-26,345
153,26219,-157
154,777,-167
155,581,269
156,61821,0
157,-20,0
158,68245,562
159,8796,1173
160,-9,1391
161,9775,251
162,-54,251
163,1459,767
164,666,-346
165,-1,45
166,-994,-116
167,-344,349
168,231,629
169,134,66321
170,-9,51315
171,4956,-25
172,-109,65467
173,-221,2711
174,20309,0
175,0,3595
176,62062,56
177,69417,143
178,64,153
179,-2,454
180,1915,51261
181,-19,1979
182,19666,-25
183,-57,65489
184,-19,-25
185,222,104
186,-14,0
187,-33,6002
188,-24,73593
189,16371,2728
190,558,18557
191,7398,415
192,1020,2925
193,50,659
194,-21,7524
195,-39,62309
196,-21,62524
197,-98,62570
198,-24,20503
199,0,342
200,-1379,45
201,-46,-58
202,1790,22541
203,150,2078
204,279,17080
205,-25,18867
206,542,351
207,418,51075
208,320,8461
209,31,5356
210,52,-120
211,146,-142
212,-344,244
213,43,-20
214,1331,0
215,300,258
216,247,100
217,-142,36143
218,-446,-27
219,-1550,61840
220,16318,10946
221,-185,14843
222,-25,66584
223,0,48572
224,4241,62
225,-25,69101
226,-100,77
227,448,0
228,256,0
229,-55,27125
230,3595,254
231,10425,67634
232,627,35728
233,431,279
234,320,235
235,17512,1189
236,115,17666
237,479,26801
238,0,59462
239,714,80172
240,2227,33506
241,746,3329
242,1056,359
243,69429,-63
244,3043,-140
245,65487,-310
246,38860,0
247,-20,0
248,74643,0
249,325,1340
250,67943,152
251,48565,58
252,784,3580
253,266,-46
254,12280,-246
255,4649,-48
256,146,154
257,-46,-250
258,553,-30
259,19724,-22
260,625,0
261,-76,-374
262,61589,-32
263,79261,0
264,-25,0
265,8193,4
266,26238,-29
267,31373,0
268,4728,5
269,37587,-750
270,595,350
271,-22,2031
272,146,160
273,42232,11
274,80668,50
275,19080,280
276,67640,-43
277,23681,-50
278,426,0
279,70639,-50
280,935,543
281,34313,13899
282,1558,88789
283,67102,73518
284,774,62878
285,1098,-25
286,525,50122
287,2692,33806
288,474,36500
289,193,46388
290,151,66044
291,1,8268
292,12,63
293,1792,26667
294,418,53673
295,8782,2491
296,59482,1901
297,-38,3481
298,-13,0
299,77659,53283
300,57447,-35
301,79165,2340
302,52016,81415
303,17314,71283
304,75500,55456
305,37592,73259
306,10270,48930
307,26385,77881
308,78540,36079
309,1791,53
310,84057,1872
311,55317,418
312,-36,-386
313,-68,104
314,-48,-46
315,254,2891
316,22722,0
317,72068,31
318,479,20073
319,0,654
320,44511,12804
321,63554,56735
322,49980,4218
323,66495,3859
324,55235,32414
325,72413,15317
326,66816,69331
327,20583,39141
328,81064,86568
329,71553,-23
330,78897,0
331,64861,669
332,76421,74145
333,80790,60238
334,45084,63222
335,69420,68779
336,52593,-25
337,57453,81772
338,350,0
339,70562,0
340,400,352
341,68595,-36
342,89640,1195
343,76585,55739
344,75200,0
345,74667,0
346,77263,-3
347,29290,-150
348,254,0
349,-82,-336
350,60130,65919
351,7813,60418
352,38371,41974
353,90830,72124
354,77397,0
355,23444,57703
356,83902,13417
357,36666,579
358,7398,15468
359,1447,69530
360,-459,35613
361,-346,69227
362,145,49711
363,-257,88762
364,-246,81253
365,-150,1325
366,-346,70851
367,-19,86143
368,-236,57983
369,-642,72024
370,-105,69768
371,2,83462
372,1094,79288
373,1210,74764
374,2043,0
375,261,55238
376,4,78801
377,920,81252
378,60812,84559
379,61274,62763
380,58696,87733
381,77879,77943
382,66168,77338
383,82248,554
384,91659,76845
385,68347,82448
386,70399,61624
387,75,84080
388,8246,777
389,83115,70127
390,87169,54920
391,8068,0
392,85742,3553
393,33859,72855
394,57875,70
395,37730,86981
396,56237,76701
397,14001,89796
398,71484,87394
399,46787,3181
400,67019,71399
401,12475,82886
402,19548,81839
403,84481,76782
404,75,952
405,75102,87629
406,47849,65331
407,88157,85586
408,20604,81677
409,654,-25
410,61755,86381
411,54061,82919
412,67795,78626
413,58903,87483
414,65658,76917
415,11499,80182
416,27109,78567
417,75077,85221
418,51359,77088
419,73676,79581
420,27177,89538
421,59035,90409
422,86086,68835
423,21169,56679
424,57132,56461
425,75865,72948
426,0,72974
427,78825,51326
428,12842,60000
429,36969,58504
430,72966,76532
431,85314,75151
432,73251,82647
433,-13,84902
434,34918,83731
435,14160,79157
436,81241,77943
437,65327,65
438,454,0
439,73998,75734
440,604,71399
441,63115,15
442,16166,-438
443,21449,0
444,82892,37839
445,76128,-55
446,73369,-51
447,56778,70485
448,88454,29254
449,73512,52425
450,14028,18939
451,13644,42613
452,24330,35784
